,penyakit,gejala,penyembuhan,dokter,tingkat risiko,combined_content,cleaned_content
10,aflatoksikosis,"muntah, diare, penyakit kuning, kerusakan hati, kematian","tidak ada obat, perawatan mungkin mencakup perawatan suportif atau transplantasi hati",gastroenterolog,tinggi (70%),"aflatoksikosis muntah, diare, penyakit kuning, kerusakan hati, kematian tidak ada obat, perawatan mungkin mencakup perawatan suportif atau transplantasi hati gastroenterolog tinggi (70%)",aflatoksikosis muntah  diare  penyakit kuning  kerusakan hati  kematian tidak ada obat  perawatan mungkin mencakup perawatan suportif atau transplantasi hati gastroenterolog tinggi      
11,alkoholisme,"ketergantungan fisik pada alkohol, toleransi, gejala putus zat, gangguan penilaian, masalah memori, kerusakan hati, penyakit jantung, kanker","konseling, obat-obatan, kelompok dukungan","psikiater, spesialis kecanduan",tinggi (25%),"alkoholisme ketergantungan fisik pada alkohol, toleransi, gejala putus zat, gangguan penilaian, masalah memori, kerusakan hati, penyakit jantung, kanker konseling, obat-obatan, kelompok dukungan psikiater, spesialis kecanduan tinggi (25%)",alkoholisme ketergantungan fisik pada alkohol  toleransi  gejala putus zat  gangguan penilaian  masalah memori  kerusakan hati  penyakit jantung  kanker konseling  obat obatan  kelompok dukungan psikiater  spesialis kecanduan tinggi      
12,rhinitis alergi,"hidung meler, bersin, mata gatal, hidung gatal, tenggorokan gatal","obat bebas, suntikan alergi",ahli alergi,"rendah (0,1%)","rhinitis alergi hidung meler, bersin, mata gatal, hidung gatal, tenggorokan gatal obat bebas, suntikan alergi ahli alergi rendah (0,1%)",rhinitis alergi hidung meler  bersin  mata gatal  hidung gatal  tenggorokan gatal obat bebas  suntikan alergi ahli alergi rendah       
13,anemia,"kelelahan, sesak napas, kulit pucat, pusing","tergantung jenis anemia, mungkin mencakup obat-obatan, transfusi darah, atau operasi",hematolog,bervariasi tergantung jenis anemia,"anemia kelelahan, sesak napas, kulit pucat, pusing tergantung jenis anemia, mungkin mencakup obat-obatan, transfusi darah, atau operasi hematolog bervariasi tergantung jenis anemia",anemia kelelahan  sesak napas  kulit pucat  pusing tergantung jenis anemia  mungkin mencakup obat obatan  transfusi darah  atau operasi hematolog bervariasi tergantung jenis anemia
14,gangguan kecemasan,"kekhawatiran berlebihan, ketakutan, kecemasan yang mengganggu kehidupan sehari-hari","terapi, obat-obatan, atau kombinasi keduanya","psikolog, psikiater",bervariasi tergantung jenis gangguan kecemasan,"gangguan kecemasan kekhawatiran berlebihan, ketakutan, kecemasan yang mengganggu kehidupan sehari-hari terapi, obat-obatan, atau kombinasi keduanya psikolog, psikiater bervariasi tergantung jenis gangguan kecemasan",gangguan kecemasan kekhawatiran berlebihan  ketakutan  kecemasan yang mengganggu kehidupan sehari hari terapi  obat obatan  atau kombinasi keduanya psikolog  psikiater bervariasi tergantung jenis gangguan kecemasan
15,apendisitis,"nyeri di perut kanan bawah, mual, muntah, demam",apendektomi,ahli bedah,tinggi (20%),"apendisitis nyeri di perut kanan bawah, mual, muntah, demam apendektomi ahli bedah tinggi (20%)",apendisitis nyeri di perut kanan bawah  mual  muntah  demam apendektomi ahli bedah tinggi      
16,asma,"mengi, sesak napas, batuk, dada sesak","obat-obatan, perubahan gaya hidup, suntikan alergi","ahli alergi, pulmonolog",bervariasi,"asma mengi, sesak napas, batuk, dada sesak obat-obatan, perubahan gaya hidup, suntikan alergi ahli alergi, pulmonolog bervariasi",asma mengi  sesak napas  batuk  dada sesak obat obatan  perubahan gaya hidup  suntikan alergi ahli alergi  pulmonolog bervariasi
17,tuberkulosis,"batuk yang tidak kunjung sembuh, demam, keringat malam, penurunan berat badan, kelelahan, nyeri dada",antibiotik,"dokter umum, pulmonolog",tinggi (20%),"tuberkulosis batuk yang tidak kunjung sembuh, demam, keringat malam, penurunan berat badan, kelelahan, nyeri dada antibiotik dokter umum, pulmonolog tinggi (20%)",tuberkulosis batuk yang tidak kunjung sembuh  demam  keringat malam  penurunan berat badan  kelelahan  nyeri dada antibiotik dokter umum  pulmonolog tinggi      
18,batu ginjal,"nyeri di punggung bawah atau samping, nyeri saat buang air kecil, urine berdarah, mual, muntah","minum air, obat-obatan, atau prosedur medis seperti ESWL",urolog,sedang (10%),"batu ginjal nyeri di punggung bawah atau samping, nyeri saat buang air kecil, urine berdarah, mual, muntah minum air, obat-obatan, atau prosedur medis seperti ESWL urolog sedang (10%)",batu ginjal nyeri di punggung bawah atau samping  nyeri saat buang air kecil  urine berdarah  mual  muntah minum air  obat obatan  atau prosedur medis seperti eswl urolog sedang      
19,sirosis,"kelelahan, penurunan berat badan, mual, kulit dan mata menguning (penyakit kuning), pembengkakan pada perut atau kaki","tidak dapat disembuhkan, perawatan mencakup perubahan gaya hidup, obat-obatan, dan transplantasi hati",gastroenterolog,tinggi (70%),"sirosis kelelahan, penurunan berat badan, mual, kulit dan mata menguning (penyakit kuning), pembengkakan pada perut atau kaki tidak dapat disembuhkan, perawatan mencakup perubahan gaya hidup, obat-obatan, dan transplantasi hati gastroenterolog tinggi (70%)",sirosis kelelahan  penurunan berat badan  mual  kulit dan mata menguning  penyakit kuning   pembengkakan pada perut atau kaki tidak dapat disembuhkan  perawatan mencakup perubahan gaya hidup  obat obatan  dan transplantasi hati gastroenterolog tinggi      
20,hepatitis,"demam, kelelahan, kehilangan nafsu makan, mual, sakit perut, penyakit kuning","tergantung jenis hepatitis, mungkin mencakup antivirus, vaksin, atau transplantasi hati",gastroenterolog,bervariasi,"hepatitis demam, kelelahan, kehilangan nafsu makan, mual, sakit perut, penyakit kuning tergantung jenis hepatitis, mungkin mencakup antivirus, vaksin, atau transplantasi hati gastroenterolog bervariasi",hepatitis demam  kelelahan  kehilangan nafsu makan  mual  sakit perut  penyakit kuning tergantung jenis hepatitis  mungkin mencakup antivirus  vaksin  atau transplantasi hati gastroenterolog bervariasi
21,malaria,"demam, menggigil, berkeringat, sakit kepala, mual, muntah, kelelahan","antimalaria, cairan, dan perawatan suportif",spesialis penyakit tropis,tinggi (20%),"malaria demam, menggigil, berkeringat, sakit kepala, mual, muntah, kelelahan antimalaria, cairan, dan perawatan suportif spesialis penyakit tropis tinggi (20%)",malaria demam  menggigil  berkeringat  sakit kepala  mual  muntah  kelelahan antimalaria  cairan  dan perawatan suportif spesialis penyakit tropis tinggi      
22,dengue,"demam tinggi, sakit kepala, nyeri sendi dan otot, ruam, pendarahan ringan","istirahat, cairan, dan perawatan suportif","dokter umum, spesialis penyakit tropis",sedang (5%),"dengue demam tinggi, sakit kepala, nyeri sendi dan otot, ruam, pendarahan ringan istirahat, cairan, dan perawatan suportif dokter umum, spesialis penyakit tropis sedang (5%)",dengue demam tinggi  sakit kepala  nyeri sendi dan otot  ruam  pendarahan ringan istirahat  cairan  dan perawatan suportif dokter umum  spesialis penyakit tropis sedang     
23,COVID-19,"demam, batuk, sesak napas, kelelahan, kehilangan indra perasa atau penciuman","antivirus, vaksin, dan perawatan suportif","dokter umum, pulmonolog, layanan gawat darurat",bervariasi tergantung kondisi pasien,"COVID-19 demam, batuk, sesak napas, kelelahan, kehilangan indra perasa atau penciuman antivirus, vaksin, dan perawatan suportif dokter umum, pulmonolog, layanan gawat darurat bervariasi tergantung kondisi pasien",covid    demam  batuk  sesak napas  kelelahan  kehilangan indra perasa atau penciuman antivirus  vaksin  dan perawatan suportif dokter umum  pulmonolog  layanan gawat darurat bervariasi tergantung kondisi pasien
24,gonore,"nyeri atau sensasi terbakar saat buang air kecil, keputihan, nyeri di perut bawah",antibiotik,"dokter umum, ginekolog",sedang (10%),"gonore nyeri atau sensasi terbakar saat buang air kecil, keputihan, nyeri di perut bawah antibiotik dokter umum, ginekolog sedang (10%)",gonore nyeri atau sensasi terbakar saat buang air kecil  keputihan  nyeri di perut bawah antibiotik dokter umum  ginekolog sedang      
25,HIV/AIDS,"demam, keringat malam, penurunan berat badan, infeksi berulang","obat antiretroviral (ARV), tidak dapat disembuhkan namun bisa dikontrol",spesialis penyakit menular,tinggi (100% jika tidak diobati),"HIV/AIDS demam, keringat malam, penurunan berat badan, infeksi berulang obat antiretroviral (ARV), tidak dapat disembuhkan namun bisa dikontrol spesialis penyakit menular tinggi (100% jika tidak diobati)",hiv aids demam  keringat malam  penurunan berat badan  infeksi berulang obat antiretroviral  arv   tidak dapat disembuhkan namun bisa dikontrol spesialis penyakit menular tinggi       jika tidak diobati 
26,epilepsi,"kejang berulang, hilang kesadaran, kebingungan sementara","obat antiepilepsi, pembedahan, atau perubahan gaya hidup",neurolog,bervariasi,"epilepsi kejang berulang, hilang kesadaran, kebingungan sementara obat antiepilepsi, pembedahan, atau perubahan gaya hidup neurolog bervariasi",epilepsi kejang berulang  hilang kesadaran  kebingungan sementara obat antiepilepsi  pembedahan  atau perubahan gaya hidup neurolog bervariasi
27,Parkinson,"tremor, kekakuan otot, masalah keseimbangan dan koordinasi, kesulitan berbicara","obat-obatan, terapi fisik, pembedahan (DBS)",neurolog,tinggi (70%),"Parkinson tremor, kekakuan otot, masalah keseimbangan dan koordinasi, kesulitan berbicara obat-obatan, terapi fisik, pembedahan (DBS) neurolog tinggi (70%)",parkinson tremor  kekakuan otot  masalah keseimbangan dan koordinasi  kesulitan berbicara obat obatan  terapi fisik  pembedahan  dbs  neurolog tinggi      
28,sindrom iritasi usus besar (IBS),"nyeri perut, kembung, diare atau sembelit, gas berlebihan","perubahan pola makan, obat-obatan, manajemen stres",gastroenterolog,"rendah (0,5%)","sindrom iritasi usus besar (IBS) nyeri perut, kembung, diare atau sembelit, gas berlebihan perubahan pola makan, obat-obatan, manajemen stres gastroenterolog rendah (0,5%)",sindrom iritasi usus besar  ibs  nyeri perut  kembung  diare atau sembelit  gas berlebihan perubahan pola makan  obat obatan  manajemen stres gastroenterolog rendah       
29,kolesterol tinggi,"tanpa gejala, namun bisa menyebabkan penyakit jantung","perubahan gaya hidup, obat-obatan seperti statin","dokter umum, kardiolog",bervariasi,"kolesterol tinggi tanpa gejala, namun bisa menyebabkan penyakit jantung perubahan gaya hidup, obat-obatan seperti statin dokter umum, kardiolog bervariasi",kolesterol tinggi tanpa gejala  namun bisa menyebabkan penyakit jantung perubahan gaya hidup  obat obatan seperti statin dokter umum  kardiolog bervariasi
30,hipertensi,"tekanan darah tinggi, sakit kepala, pusing, mimisan","perubahan gaya hidup, obat-obatan","dokter umum, kardiolog",bervariasi,"hipertensi tekanan darah tinggi, sakit kepala, pusing, mimisan perubahan gaya hidup, obat-obatan dokter umum, kardiolog bervariasi",hipertensi tekanan darah tinggi  sakit kepala  pusing  mimisan perubahan gaya hidup  obat obatan dokter umum  kardiolog bervariasi
31,lupus,"kelelahan, nyeri sendi, ruam kulit, demam, rambut rontok","obat-obatan imunosupresan, terapi kortikosteroid",reumatolog,tinggi (50%),"lupus kelelahan, nyeri sendi, ruam kulit, demam, rambut rontok obat-obatan imunosupresan, terapi kortikosteroid reumatolog tinggi (50%)",lupus kelelahan  nyeri sendi  ruam kulit  demam  rambut rontok obat obatan imunosupresan  terapi kortikosteroid reumatolog tinggi      
32,osteoporosis,"nyeri punggung, postur bungkuk, patah tulang","obat-obatan, suplemen kalsium dan vitamin D, olahraga","reumatolog, ortopedis",sedang (10%),"osteoporosis nyeri punggung, postur bungkuk, patah tulang obat-obatan, suplemen kalsium dan vitamin D, olahraga reumatolog, ortopedis sedang (10%)",osteoporosis nyeri punggung  postur bungkuk  patah tulang obat obatan  suplemen kalsium dan vitamin d  olahraga reumatolog  ortopedis sedang      
33,polio,"kelumpuhan, kelemahan otot, kesulitan bernapas","vaksinasi untuk pencegahan, perawatan suportif",spesialis penyakit menular,tinggi (50% jika terkena),"polio kelumpuhan, kelemahan otot, kesulitan bernapas vaksinasi untuk pencegahan, perawatan suportif spesialis penyakit menular tinggi (50% jika terkena)",polio kelumpuhan  kelemahan otot  kesulitan bernapas vaksinasi untuk pencegahan  perawatan suportif spesialis penyakit menular tinggi      jika terkena 
34,rabies,"demam, kesemutan di area gigitan, kejang, halusinasi, agresi","tidak ada obat, hanya perawatan pencegahan dengan vaksin atau serum",spesialis penyakit menular,tinggi (100% jika tidak diobati),"rabies demam, kesemutan di area gigitan, kejang, halusinasi, agresi tidak ada obat, hanya perawatan pencegahan dengan vaksin atau serum spesialis penyakit menular tinggi (100% jika tidak diobati)",rabies demam  kesemutan di area gigitan  kejang  halusinasi  agresi tidak ada obat  hanya perawatan pencegahan dengan vaksin atau serum spesialis penyakit menular tinggi       jika tidak diobati 
35,asthma,"sesak napas, batuk, mengi, tekanan di dada","inhaler, obat anti-inflamasi, menghindari pemicu",pulmonolog,sedang (10%),"asthma sesak napas, batuk, mengi, tekanan di dada inhaler, obat anti-inflamasi, menghindari pemicu pulmonolog sedang (10%)",asthma sesak napas  batuk  mengi  tekanan di dada inhaler  obat anti inflamasi  menghindari pemicu pulmonolog sedang      
36,kanker paru-paru,"batuk kronis, nyeri dada, sesak napas, penurunan berat badan, kelelahan","kemoterapi, radioterapi, pembedahan",onkolog,tinggi (80%),"kanker paru-paru batuk kronis, nyeri dada, sesak napas, penurunan berat badan, kelelahan kemoterapi, radioterapi, pembedahan onkolog tinggi (80%)",kanker paru paru batuk kronis  nyeri dada  sesak napas  penurunan berat badan  kelelahan kemoterapi  radioterapi  pembedahan onkolog tinggi      
37,kanker payudara,"benjolan di payudara, perubahan ukuran atau bentuk payudara, nyeri, keluarnya cairan","pembedahan, kemoterapi, terapi radiasi",onkolog,tinggi (70%),"kanker payudara benjolan di payudara, perubahan ukuran atau bentuk payudara, nyeri, keluarnya cairan pembedahan, kemoterapi, terapi radiasi onkolog tinggi (70%)",kanker payudara benjolan di payudara  perubahan ukuran atau bentuk payudara  nyeri  keluarnya cairan pembedahan  kemoterapi  terapi radiasi onkolog tinggi      
38,kanker usus besar,"perubahan kebiasaan buang air besar, darah dalam tinja, nyeri perut, penurunan berat badan","pembedahan, kemoterapi, terapi radiasi",onkolog,tinggi (40%),"kanker usus besar perubahan kebiasaan buang air besar, darah dalam tinja, nyeri perut, penurunan berat badan pembedahan, kemoterapi, terapi radiasi onkolog tinggi (40%)",kanker usus besar perubahan kebiasaan buang air besar  darah dalam tinja  nyeri perut  penurunan berat badan pembedahan  kemoterapi  terapi radiasi onkolog tinggi      
39,diabetes tipe 1,"haus berlebihan, buang air kecil yang sering, penurunan berat badan, kelelahan","insulin, pengelolaan diet, olahraga",endokrinolog,tinggi (30%),"diabetes tipe 1 haus berlebihan, buang air kecil yang sering, penurunan berat badan, kelelahan insulin, pengelolaan diet, olahraga endokrinolog tinggi (30%)",diabetes tipe   haus berlebihan  buang air kecil yang sering  penurunan berat badan  kelelahan insulin  pengelolaan diet  olahraga endokrinolog tinggi      
40,diabetes tipe 2,"haus berlebihan, kelelahan, penglihatan kabur, luka yang lambat sembuh","diet, olahraga, obat oral, insulin",endokrinolog,tinggi (70%),"diabetes tipe 2 haus berlebihan, kelelahan, penglihatan kabur, luka yang lambat sembuh diet, olahraga, obat oral, insulin endokrinolog tinggi (70%)",diabetes tipe   haus berlebihan  kelelahan  penglihatan kabur  luka yang lambat sembuh diet  olahraga  obat oral  insulin endokrinolog tinggi      
41,alergi,"gatal-gatal, hidung tersumbat, bersin, mata berair","antihistamin, menghindari alergen, imunoterapi",ahli alergi,rendah (1%),"alergi gatal-gatal, hidung tersumbat, bersin, mata berair antihistamin, menghindari alergen, imunoterapi ahli alergi rendah (1%)",alergi gatal gatal  hidung tersumbat  bersin  mata berair antihistamin  menghindari alergen  imunoterapi ahli alergi rendah     
42,anemia,"kelelahan, pucat, sesak napas, detak jantung cepat","suplemen besi, transfusi darah, perubahan diet","dokter umum, hematolog",bervariasi,"anemia kelelahan, pucat, sesak napas, detak jantung cepat suplemen besi, transfusi darah, perubahan diet dokter umum, hematolog bervariasi",anemia kelelahan  pucat  sesak napas  detak jantung cepat suplemen besi  transfusi darah  perubahan diet dokter umum  hematolog bervariasi
43,depresi,"perasaan sedih, kehilangan minat, kelelahan, gangguan tidur","psikoterapi, obat antidepresan, olahraga",psikiater,sedang (15%),"depresi perasaan sedih, kehilangan minat, kelelahan, gangguan tidur psikoterapi, obat antidepresan, olahraga psikiater sedang (15%)",depresi perasaan sedih  kehilangan minat  kelelahan  gangguan tidur psikoterapi  obat antidepresan  olahraga psikiater sedang      
44,kecemasan,"kecemasan berlebihan, detak jantung cepat, berkeringat, kesulitan berkonsentrasi","psikoterapi, obat antianxiety, teknik relaksasi",psikiater,sedang (20%),"kecemasan kecemasan berlebihan, detak jantung cepat, berkeringat, kesulitan berkonsentrasi psikoterapi, obat antianxiety, teknik relaksasi psikiater sedang (20%)",kecemasan kecemasan berlebihan  detak jantung cepat  berkeringat  kesulitan berkonsentrasi psikoterapi  obat antianxiety  teknik relaksasi psikiater sedang      
45,insomnia,"kesulitan tidur, bangun terlalu dini, tidak merasa segar saat bangun tidur","perubahan gaya hidup, terapi kognitif perilaku, obat tidur","dokter umum, psikiater",sedang (10%),"insomnia kesulitan tidur, bangun terlalu dini, tidak merasa segar saat bangun tidur perubahan gaya hidup, terapi kognitif perilaku, obat tidur dokter umum, psikiater sedang (10%)",insomnia kesulitan tidur  bangun terlalu dini  tidak merasa segar saat bangun tidur perubahan gaya hidup  terapi kognitif perilaku  obat tidur dokter umum  psikiater sedang      
46,artritis,"nyeri sendi, pembengkakan, kekakuan, keterbatasan gerak","obat antiinflamasi, fisioterapi, pembedahan",reumatolog,tinggi (40%),"artritis nyeri sendi, pembengkakan, kekakuan, keterbatasan gerak obat antiinflamasi, fisioterapi, pembedahan reumatolog tinggi (40%)",artritis nyeri sendi  pembengkakan  kekakuan  keterbatasan gerak obat antiinflamasi  fisioterapi  pembedahan reumatolog tinggi      
47,gangguan tiroid,"kecemasan, penurunan berat badan atau penambahan berat badan, kelelahan, kulit kering","obat tiroid, terapi yodium radioaktif, pembedahan",endokrinolog,bervariasi,"gangguan tiroid kecemasan, penurunan berat badan atau penambahan berat badan, kelelahan, kulit kering obat tiroid, terapi yodium radioaktif, pembedahan endokrinolog bervariasi",gangguan tiroid kecemasan  penurunan berat badan atau penambahan berat badan  kelelahan  kulit kering obat tiroid  terapi yodium radioaktif  pembedahan endokrinolog bervariasi
48,skizofrenia,"halusinasi, delusi, gangguan berpikir, isolasi sosial","obat antipsikotik, terapi psikososial",psikiater,tinggi (70%),"skizofrenia halusinasi, delusi, gangguan berpikir, isolasi sosial obat antipsikotik, terapi psikososial psikiater tinggi (70%)",skizofrenia halusinasi  delusi  gangguan berpikir  isolasi sosial obat antipsikotik  terapi psikososial psikiater tinggi      
49,Celiac disease,"nyeri perut, diare, kembung, penurunan berat badan","diet bebas gluten, suplemen gizi",gastroenterolog,sedang (5%),"Celiac disease nyeri perut, diare, kembung, penurunan berat badan diet bebas gluten, suplemen gizi gastroenterolog sedang (5%)",celiac disease nyeri perut  diare  kembung  penurunan berat badan diet bebas gluten  suplemen gizi gastroenterolog sedang     
50,fibromyalgia,"nyeri tubuh, kelelahan, kesulitan tidur, masalah kognitif","obat penghilang rasa sakit, terapi fisik, manajemen stres",rheumatolog,sedang (10%),"fibromyalgia nyeri tubuh, kelelahan, kesulitan tidur, masalah kognitif obat penghilang rasa sakit, terapi fisik, manajemen stres rheumatolog sedang (10%)",fibromyalgia nyeri tubuh  kelelahan  kesulitan tidur  masalah kognitif obat penghilang rasa sakit  terapi fisik  manajemen stres rheumatolog sedang      
51,hipertensi,"sakit kepala, pusing, sesak napas, palpitasi","perubahan gaya hidup, obat antihipertensi",dokter umum,tinggi (25%),"hipertensi sakit kepala, pusing, sesak napas, palpitasi perubahan gaya hidup, obat antihipertensi dokter umum tinggi (25%)",hipertensi sakit kepala  pusing  sesak napas  palpitasi perubahan gaya hidup  obat antihipertensi dokter umum tinggi      
52,stroke,"kelemahan mendadak, kesulitan berbicara, kebingungan, kehilangan keseimbangan","terapi rehabilitasi, obat pengencer darah, pembedahan",neurolog,tinggi (50%),"stroke kelemahan mendadak, kesulitan berbicara, kebingungan, kehilangan keseimbangan terapi rehabilitasi, obat pengencer darah, pembedahan neurolog tinggi (50%)",stroke kelemahan mendadak  kesulitan berbicara  kebingungan  kehilangan keseimbangan terapi rehabilitasi  obat pengencer darah  pembedahan neurolog tinggi      
53,kanker prostat,"nyeri panggul, kesulitan berkemih, darah dalam urine, disfungsi ereksi","pembedahan, terapi radiasi, terapi hormon",onkolog,tinggi (30%),"kanker prostat nyeri panggul, kesulitan berkemih, darah dalam urine, disfungsi ereksi pembedahan, terapi radiasi, terapi hormon onkolog tinggi (30%)",kanker prostat nyeri panggul  kesulitan berkemih  darah dalam urine  disfungsi ereksi pembedahan  terapi radiasi  terapi hormon onkolog tinggi      
54,kanker hati,"nyeri perut bagian atas, kehilangan berat badan, mual, jaundice","transplantasi hati, kemoterapi, terapi target",onkolog,tinggi (60%),"kanker hati nyeri perut bagian atas, kehilangan berat badan, mual, jaundice transplantasi hati, kemoterapi, terapi target onkolog tinggi (60%)",kanker hati nyeri perut bagian atas  kehilangan berat badan  mual  jaundice transplantasi hati  kemoterapi  terapi target onkolog tinggi      
55,penyakit jantung koroner,"nyeri dada, sesak napas, kelelahan, palpitasi","perubahan gaya hidup, obat, pembedahan",kardiolog,tinggi (40%),"penyakit jantung koroner nyeri dada, sesak napas, kelelahan, palpitasi perubahan gaya hidup, obat, pembedahan kardiolog tinggi (40%)",penyakit jantung koroner nyeri dada  sesak napas  kelelahan  palpitasi perubahan gaya hidup  obat  pembedahan kardiolog tinggi      
56,Penyakit Alzheimer,"kebingungan, kehilangan memori, perubahan suasana hati, kesulitan berbicara","pengobatan simtomatik, terapi okupasi",neurolog,tinggi (60%),"Penyakit Alzheimer kebingungan, kehilangan memori, perubahan suasana hati, kesulitan berbicara pengobatan simtomatik, terapi okupasi neurolog tinggi (60%)",penyakit alzheimer kebingungan  kehilangan memori  perubahan suasana hati  kesulitan berbicara pengobatan simtomatik  terapi okupasi neurolog tinggi      
57,Penyakit Parkinson,"tremor, kekakuan otot, kesulitan bergerak, perubahan postur","obat, fisioterapi, pembedahan",neurolog,tinggi (30%),"Penyakit Parkinson tremor, kekakuan otot, kesulitan bergerak, perubahan postur obat, fisioterapi, pembedahan neurolog tinggi (30%)",penyakit parkinson tremor  kekakuan otot  kesulitan bergerak  perubahan postur obat  fisioterapi  pembedahan neurolog tinggi      
58,asma alergi,"sesak napas, batuk, mengi saat terpapar alergen","inhaler, penghindaran alergen, terapi imun",pulmonolog,sedang (20%),"asma alergi sesak napas, batuk, mengi saat terpapar alergen inhaler, penghindaran alergen, terapi imun pulmonolog sedang (20%)",asma alergi sesak napas  batuk  mengi saat terpapar alergen inhaler  penghindaran alergen  terapi imun pulmonolog sedang      
